t,u,y
19.00000000,1.74644184,623.57147217
19.02000000,1.74644184,623.57147217
19.04000000,1.74644184,630.00006104
19.06000000,1.74644184,630.00006104
19.08000000,1.74644184,636.42858887
19.10000000,1.74644184,642.85717773
19.12000000,1.74644184,642.85717773
19.14000000,1.74644184,649.28576660
19.16000000,1.74644184,642.85717773
19.18000000,1.74644184,649.28576660
19.20000000,1.08388567,649.28576660
19.22000000,1.08388567,642.85717773
19.24000000,1.08388567,630.00006104
19.26000000,1.08388567,623.57147217
19.28000000,1.08388567,617.14288330
19.30000000,1.08388567,604.28576660
19.32000000,1.08388567,597.85717773
19.34000000,1.08388567,597.85717773
19.36000000,1.74644184,591.42864990
19.38000000,1.74644184,591.42864990
19.40000000,1.74644184,604.28576660
19.42000000,1.74644184,610.71435547
19.44000000,1.74644184,623.57147217
19.46000000,1.74644184,623.57147217
19.48000000,1.74644184,630.00006104
19.50000000,1.74644184,636.42858887
19.52000000,1.74644184,636.42858887
19.54000000,1.74644184,642.85717773
19.56000000,1.74644184,642.85717773
19.58000000,1.74644184,642.85717773
19.60000000,1.08388567,642.85717773
19.62000000,1.08388567,642.85717773
19.64000000,1.08388567,636.42858887
19.66000000,1.08388567,623.57147217
19.68000000,1.74644184,610.71435547
19.70000000,1.74644184,610.71435547
19.72000000,1.74644184,623.57147217
19.74000000,1.74644184,623.57147217
19.76000000,1.08388567,630.00006104
19.78000000,1.08388567,630.00006104
19.80000000,1.08388567,617.14288330
19.82000000,1.08388567,610.71435547
19.84000000,1.74644184,610.71435547
19.86000000,1.74644184,604.28576660
19.88000000,1.74644184,610.71435547
19.90000000,1.74644184,623.57147217
19.92000000,1.08388567,623.57147217
19.94000000,1.08388567,630.00006104
19.96000000,1.08388567,617.14288330
19.98000000,1.08388567,610.71435547
20.00000000,1.08388567,604.28576660
20.02000000,1.08388567,591.42864990
20.04000000,1.08388567,597.85717773
20.06000000,1.08388567,585.00006104
20.08000000,1.74644184,585.00006104
20.10000000,1.74644184,585.00006104
20.12000000,1.74644184,597.85717773
20.14000000,1.74644184,604.28576660
20.16000000,1.74644184,617.14288330
20.18000000,1.74644184,623.57147217
20.20000000,1.74644184,623.57147217
20.22000000,1.74644184,636.42858887
20.24000000,1.74644184,630.00006104
20.26000000,1.74644184,636.42858887
20.28000000,1.74644184,642.85717773
20.30000000,1.74644184,642.85717773
20.32000000,1.08388567,642.85717773
20.34000000,1.08388567,642.85717773
20.36000000,1.08388567,636.42858887
20.38000000,1.08388567,617.14288330
20.40000000,1.74644184,610.71435547
20.42000000,1.74644184,610.71435547
20.44000000,1.74644184,623.57147217
20.46000000,1.74644184,623.57147217
20.48000000,1.08388567,630.00006104
20.50000000,1.08388567,630.00006104
20.52000000,1.08388567,623.57147217
20.54000000,1.08388567,610.71435547
20.56000000,1.08388567,604.28576660
20.58000000,1.08388567,597.85717773
20.60000000,1.08388567,591.42864990
20.62000000,1.08388567,591.42864990
20.64000000,1.08388567,585.00006104
20.66000000,1.08388567,578.57147217
20.68000000,1.08388567,578.57147217
20.70000000,1.08388567,572.14288330
20.72000000,1.08388567,565.71429443
20.74000000,1.08388567,565.71429443
20.76000000,1.08388567,565.71429443
20.78000000,1.08388567,565.71429443
20.80000000,1.08388567,565.71429443
20.82000000,1.08388567,565.71429443
20.84000000,1.08388567,559.28576660
20.86000000,1.08388567,565.71429443
20.88000000,1.74644184,559.28576660
20.90000000,1.74644184,565.71429443
20.92000000,1.74644184,585.00006104
20.94000000,1.74644184,591.42864990
20.96000000,1.74644184,610.71435547
20.98000000,1.74644184,610.71435547
21.00000000,1.74644184,623.57147217
21.02000000,1.74644184,623.57147217
21.04000000,1.74644184,630.00006104
21.06000000,1.74644184,636.42858887
21.08000000,1.74644184,636.42858887
21.10000000,1.74644184,642.85717773
21.12000000,1.74644184,642.85717773
21.14000000,1.74644184,642.85717773
21.16000000,1.74644184,642.85717773
21.18000000,1.74644184,649.28576660
21.20000000,1.08388567,649.28576660
21.22000000,1.08388567,642.85717773
21.24000000,1.08388567,636.42858887
21.26000000,1.08388567,623.57147217
21.28000000,1.74644184,617.14288330
21.30000000,1.74644184,610.71435547
21.32000000,1.74644184,623.57147217
21.34000000,1.74644184,630.00006104
21.36000000,1.74644184,630.00006104
21.38000000,1.74644184,636.42858887
21.40000000,1.74644184,636.42858887
21.42000000,1.74644184,642.85717773
21.44000000,1.08388567,642.85717773
21.46000000,1.08388567,636.42858887
21.48000000,1.08388567,630.00006104
21.50000000,1.08388567,623.57147217
21.52000000,1.74644184,610.71435547
21.54000000,1.74644184,610.71435547
21.56000000,1.74644184,617.14288330
21.58000000,1.74644184,623.57147217
21.60000000,1.74644184,623.57147217
21.62000000,1.74644184,630.00006104
21.64000000,1.74644184,630.00006104
21.66000000,1.74644184,642.85717773
21.68000000,1.74644184,636.42858887
21.70000000,1.74644184,649.28576660
21.72000000,1.74644184,642.85717773
21.74000000,1.74644184,649.28576660
21.76000000,1.08388567,649.28576660
21.78000000,1.08388567,642.85717773
21.80000000,1.08388567,630.00006104
21.82000000,1.08388567,630.00006104
21.84000000,1.08388567,610.71435547
21.86000000,1.08388567,610.71435547
21.88000000,1.08388567,597.85717773
21.90000000,1.08388567,597.85717773
21.92000000,1.08388567,591.42864990
21.94000000,1.08388567,585.00006104
21.96000000,1.08388567,585.00006104
21.98000000,1.08388567,578.57147217
22.00000000,1.08388567,578.57147217
22.02000000,1.08388567,572.14288330
22.04000000,1.08388567,565.71429443
22.06000000,1.08388567,572.14288330
22.08000000,1.74644184,559.28576660
22.10000000,1.74644184,572.14288330
22.12000000,1.74644184,591.42864990
22.14000000,1.74644184,591.42864990
22.16000000,1.74644184,610.71435547
22.18000000,1.74644184,617.14288330
22.20000000,1.74644184,617.14288330
22.22000000,1.74644184,630.00006104
22.24000000,1.08388567,630.00006104
22.26000000,1.08388567,623.57147217
22.28000000,1.08388567,623.57147217
22.30000000,1.08388567,610.71435547
22.32000000,1.08388567,604.28576660
22.34000000,1.08388567,597.85717773
22.36000000,1.08388567,591.42864990
22.38000000,1.08388567,585.00006104
22.40000000,1.08388567,585.00006104
22.42000000,1.08388567,585.00006104
22.44000000,1.08388567,578.57147217
22.46000000,1.08388567,572.14288330
22.48000000,1.74644184,572.14288330
22.50000000,1.74644184,578.57147217
22.52000000,1.74644184,591.42864990
22.54000000,1.74644184,597.85717773
22.56000000,1.08388567,610.71435547
22.58000000,1.08388567,610.71435547
22.60000000,1.08388567,610.71435547
22.62000000,1.08388567,597.85717773
22.64000000,1.08388567,591.42864990
22.66000000,1.08388567,585.00006104
22.68000000,1.08388567,585.00006104
22.70000000,1.08388567,578.57147217
22.72000000,1.74644184,578.57147217
22.74000000,1.74644184,578.57147217
22.76000000,1.74644184,597.85717773
22.78000000,1.74644184,604.28576660
22.80000000,1.08388567,617.14288330
22.82000000,1.08388567,617.14288330
22.84000000,1.08388567,610.71435547
22.86000000,1.08388567,604.28576660
22.88000000,1.74644184,597.85717773
22.90000000,1.74644184,597.85717773
22.92000000,1.74644184,604.28576660
22.94000000,1.74644184,623.57147217
22.96000000,1.08388567,623.57147217
22.98000000,1.08388567,623.57147217
23.00000000,1.08388567,617.14288330
23.02000000,1.08388567,610.71435547
23.04000000,1.08388567,597.85717773
23.06000000,1.08388567,597.85717773
