t,r,y,u
1.74000000,720.00000000,753.55718994,-0.53515255
1.76000000,720.00000000,750.72863770,-0.33815914
1.78000000,720.00000000,747.38574219,-0.20788240
1.80000000,720.00000000,744.04290771,-0.07627115
1.82000000,720.00000000,740.70001221,0.05667987
1.84000000,720.00000000,737.87145996,0.05667987
1.86000000,720.00000000,735.94287109,0.24413441
1.88000000,720.00000000,735.17144775,0.27065700
1.90000000,720.00000000,735.04290771,0.27007040
1.92000000,720.00000000,735.17144775,0.25857127
1.94000000,720.00000000,735.17144775,0.25857127
1.96000000,720.00000000,735.17144775,0.24643408
1.98000000,720.00000000,735.17144775,0.24036549
2.00000000,720.00000000,735.30004883,0.22881232
2.02000000,705.59997559,735.42858887,-0.39692354
2.04000000,691.20001221,735.17144775,-1.01201963
2.06000000,676.79998779,734.01434326,-1.01201963
2.08000000,662.40002441,731.31433105,-2.11626029
2.10000000,648.00000000,726.68572998,-2.56055880
2.12000000,633.59997559,719.74291992,-2.91006899
2.14000000,619.20001221,710.74291992,-3.17482448
2.16000000,604.79998779,700.20001221,-3.17482448
2.18000000,590.40002441,688.37145996,-3.52376628
2.20000000,576.00000000,675.64288330,-3.63423896
2.22000000,561.59997559,662.27148438,-3.71796489
2.24000000,547.20001221,648.38574219,-3.78016400
2.26000000,532.79998779,634.11431885,-3.78016400
2.28000000,518.40002441,619.71429443,-3.86664605
2.30000000,504.00000000,605.05718994,-3.89620781
2.32000000,489.60000610,590.27148438,-3.89620781
2.34000000,475.20001221,575.48571777,-3.94399691
2.36000000,460.79998779,560.70001221,-3.94399691
2.38000000,446.39999390,545.78576660,-3.96766281
2.40000000,432.00000000,531.00000000,-4.00899267
2.42000000,417.60000610,516.08575439,-4.02666092
2.44000000,403.20001221,501.04287720,-4.03863716
2.46000000,388.79998779,486.12860107,-4.03863716
2.48000000,374.39999390,471.21432495,-4.07284069
2.50000000,360.00000000,456.17144775,-4.08414888
2.52000000,345.60000610,441.38574219,-4.10616779
2.54000000,331.19998169,426.47146606,-4.12255001
2.56000000,316.79998779,411.42858887,-4.12255001
2.58000000,302.40002441,396.51431274,-4.14915800
2.60000000,287.99996948,381.60003662,-4.16487312
2.62000000,273.60000610,366.68572998,-4.18037701
2.64000000,259.20001221,351.64288330,-4.19019508
2.66000000,244.79998779,336.60000610,-4.19975567
2.68000000,230.39999390,321.68572998,-4.21454239
2.70000000,216.00001526,306.77145386,-4.22912312
2.72000000,201.59997559,291.85714722,-4.24349928
2.74000000,187.19999695,276.81430054,-4.25218487
2.76000000,172.80000305,261.77145386,-4.25218487
2.78000000,158.40002441,246.85716248,-4.27426815
2.80000000,143.99998474,231.81430054,-4.28223610
2.82000000,129.60000610,216.90000916,-4.29542732
2.84000000,115.20001984,201.85714722,-4.30292988
2.86000000,100.79998779,186.81430054,-4.31017780
2.88000000,86.40000153,171.77143860,-4.31716633
2.90000000,72.00001526,156.72857666,-4.32389736
2.92000000,57.59998703,141.68571472,-4.33037281
2.94000000,43.20000076,126.77143860,-4.34207392
2.96000000,28.80001450,111.72857666,-4.34207392
2.98000000,14.39998627,96.68572235,-4.35384130
3.00000000,0.00000000,81.64286041,-4.35933781
